Country,Albania,Algeria,American Samoa,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bolivia,Bosnia,Brazil,British Virgin Islands,Bulgaria,Cameroon,Canada,Cayman Islands,Chile,China,Chinese Taipei,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,Czechoslovakia,Denmark ,Dominica,East Germany,Egypt,Estonia,Ethiopia,Fiji,Finland,France,Georgia,Germany,Ghana,Great Britain,Greece,Guam,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,Individual Olympic Athletes,Iran,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Luxemburg,"Macedonia, the former Yugoslav Republic of",Madagascar,Malta,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Nepal,Netherlands,Netherlands Antilles,New Zealand,North Korea,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,San Marino,Senegal,Serbia,Serbia and Montenegro,Slovakia,Slovenia,South Africa,South Korea,Soviet Union,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago ,Turkey,Ukraine,Unified Team,United States,Uruguay,Uzbekistan,Venezuela,West Germany,Virgin Islands,Yugoslavia,Zimbabwe,
Country Shape File,Albania,Algeria,American Samoa,Andorra,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,British Virgin Islands,Bulgaria,Cameroon,Canada,Cayman Islands,Chile,China,Taiwan,Colombia,Costa Rica,Croatia,Cyprus,Czech Republic,NAN,Denmark ,Dominica,Germany,Egypt,Estonia,Ethiopia,Fiji,Finland,France,Georgia,Germany,Ghana,United Kingdom,Greece,Guam,Guatemala,Honduras,Hong Kong,Hungary,Iceland,India,India,Iran,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kenya,Kyrgyzstan,Latvia,Lebanon,Liechtenstein,Lithuania,Luxemburg,Macedonia,Madagascar,Malta,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Nepal,Netherlands,Netherlands,New Zealand,North Korea,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Romania,Russia,San Marino,Senegal,Serbia,NAN,Slovakia,Slovenia,South Africa,South Korea,NAN,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,East Timor,Togo,Tonga,Trinidad and Tobago ,Turkey,Ukraine,NAN,United States of America,Uruguay,Uzbekistan,Venezuela,Germany,Virgin Islands,NAN,Zimbabwe,
Alpha-2 code,AL,DZ,AS,AD,AR,AM,AU,AT,AZ,BY,BE,BM,BO,BA,BR,VG,BG,CM,CA,KY,CL,CN,TW,CO,CR,HR,CY,CZ,CS,DK,DM,DE,EG,EE,ET,FJ,FI,FR,GE,DE,GH,GB,GR,GU,GT,HN,HK,HU,IS,IN,,IR,IE,IL,IT,JM,JP,KZ,KE,KG,LV,LB,LI,LT,LU,MK,MG,MT,MX,MD,MC,MN,ME,MA,NP,NL,AN,NZ,KP,NO,PK,PY,PE,PH,PL,PT,PR,RO,RU,SM,SN,RS,CS,SK,SI,ZA,KR,SU,ES,SZ,SE,CH,TJ,TH,TL,TG,TO,TT,TR,UA,,US,UY,UZ,VE,DE,VI,YU,ZW,
Alpha-3 code,ALB,DZA,ASM,AND,ARG,ARM,AUS,AUT,AZE,BLR,BEL,BMU,BOL,BIH,BRA,VGB,BGR,CMR,CAN,CYM,CHL,CHN,TWN,COL,CRI,HRV,CYP,CZE,CSK,DNK,DMA,DEU,EGY,EST,ETH,FJI,FIN,FRA,GEO,DEU,GHA,GBR,GRC,GUM,GTM,HND,HKG,HUN,ISL,IND,,IRN,IRL,ISR,ITA,JAM,JPN,KAZ,KEN,KGZ,LVA,LBN,LIE,LTU,LUX,MKD,MDG,MLT,MEX,MDA,MCO,MNG,MNE,MAR,NPL,NLD,ANT,NZL,PRK,NOR,PAK,PRY,PER,PHL,POL,PRT,PRI,ROU,RUS,SMR,SEN,SRB,SCG,SVK,SVN,ZAF,KOR,SUN,ESP,SWZ,SWE,CHE,TJK,THA,TLS,TGO,TON,TTO,TUR,UKR,,USA,URY,UZB,VEN,DEU,VIR,YUG,ZWE,
Numeric code,8,12,16,20,32,51,36,40,31,112,56,60,68,70,76,92,100,120,124,136,152,156,158,170,188,191,196,203,200,208,212,278,818,233,231,242,246,250,268,276,288,826,300,316,320,340,344,348,352,356,,364,372,376,380,388,392,398,404,417,428,422,438,440,442,807,450,470,484,498,492,496,499,504,524,528,530,554,408,578,586,600,604,608,616,620,630,642,643,674,686,688,891,703,705,710,410,810,724,748,752,756,762,764,626,768,776,780,792,804,,840,858,860,862,280,850,891,716,
Latitude (average),41,28,-14.3333,42.5,-34,40,-27,47.3333,40.5,53,50.8333,32.3333,-17,44,-10,18.5,43,6,60,19.5,-30,35,23.5,4,10,45.1667,35,49.75,49.75,56,15.4167,51,27,59,8,-18,64,46,42,51,8,54,39,13.4667,15.5,15,22.25,47,65,20,20,32,53,31.5,42.8333,18.25,36,48,1,41,57,33.8333,47.1667,56,49.75,41.8333,-20,35.8333,23,47,43.7333,46,42,32,28,52.5,12.25,-41,40,62,30,-23,-10,13,52,39.5,18.25,46,60,43.7667,14,44,44.8167,48.6667,46,-29,37,55.75,40,-26.5,62,47,39,15,-8.55,8,-20,11,39,49,55.75,38,-33,41,8,51,18.3333,44.8206,-20,
Longitude (average),20,3,-170,1.6,-64,45,133,13.3333,47.5,28,4,-64.75,-65,18,-55,-64.5,25,12,-95,-80.5,-71,105,121,-72,-84,15.5,33,15.5,15.5,10,-61.3333,9,30,26,38,175,26,2,43.5,9,-2,-2,22,144.7833,-90.25,-86.5,114.1667,20,-18,77,77,53,-8,34.75,12.8333,-77.5,138,68,38,75,25,35.8333,9.5333,24,6.1667,22,47,14.5833,-102,29,7.4,105,19,-5,84,5.75,-68.75,174,127,10,70,-58,-76,122,20,-8,-66.5,25,100,12.4167,-14,21,20.4667,19.5,15,24,127.5,37.6167,-4,31.5,15,8,71,100,125.5167,1.1667,-175,-61,35,32,37.6167,-97,-56,64,-66,9,-64.8333,20.4622,30,
Population (2012),3162083,38481705,55128,78360,41086927,2969081,22683600,8462446,9297507,9464000,11142157,64806,10496285,3833916,198656019,27800,7304632,21699631,34880491,57570,17464814,1350695000,23268087,47704427,4805295,4267000,1128994,10514810,15600000,5590478,71684,16666,80721874,1339396,91728849,874742,5414293,65696689,4511800,81889839,25366462,63227526,11280167,15082831,162810,7935846,7154600,9943755,320137,1236686732,,76424443,4588798,7907900,60917978,2712100,127561489,16797459,43178141,5582100,2025473,4424888,36656,2985509,531441,2105575,22293914,418366,120847477,3559541,37579,2796484,621081,32521143,27474377,16767705,227049,4433100,24763188,5018869,179160111,6687361,29987800,96706764,38542737,10526703,3667084,21326905,143533000,31247,13726021,7223887,10830000,5410267,2058152,51189306.614892,50004000,293000000,46217961,1230985,9516617,7997152,8008990,66785001,1210233,6642928,104941,1337439,73997128,45593300,293000000,313914040,3395253,29776850,29954782,63250000,105275,23720000,13724317,
1924,,,,,,,,4,,,18,,,,,,,,12,,,,,,,,,,27,,,,,,,,17,43,,,,44,,,,,,4,,7,,,,,23,,,,,,2,,,, ,,,,,,,,,,1,,,,,14,,,,,7,,,,,,,,,,,,,,,,31,30,,,,,,,,,,24,,,,,,4,,44
Men,,,,,,,,2,,,17,,,,,,,,11,,,,,,,,,,27,,,,,,,,16,41,,,,43,,,,,,4,,7,,,,,23,,,,,,2,,,, ,,,,,,,,,,1,,,,,13,,,,,7,,,,,,,,,,,,,,,,31,30,,,,,,,,,,22,,,,,,4,,
Women,,,,,,,,2,,,1,,,,,,,,1,,,,,,,,,,0,,,,,,,,1,2,,,,1,,,,,,0,,0,,,,,0,,,,,,0,,,, ,,,,,,,,,,0,,,,,1,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,0,,
